==================================================================
                        General Data File
==================================================================
Units:
length m mass kg
Number of elements and nodes:
3979 864

.................................................................

Node                X m        Y m        Z m
Coordinates:
746       4.0534       1.2737       -3.223
747      0.59378       4.9844     -0.76292
748      0.89121       3.5026       -1.609
749       4.8501      0.46253      -4.4528
750       2.0208      0.97918      -3.9003
751       5.7322       1.7671      -2.7815
752       4.0813       5.1961            0
753        5.333       5.3521            0
754       6.8581       3.1446      -1.6746
755       4.0418       3.7219     -0.76013
756       6.3022       2.2869      -2.2483
757       6.3882       5.6078            0
758            0            7            0
759       1.9857       2.1116      -2.3295
760       5.3175       2.2117      -2.0673
761            0            3      -2.2222
762          7.5            3      -1.9053
763       7.5657       4.6061     -0.77842
764       5.0449       1.0614      -3.2037
765            0          4.5     -0.95263
766       3.2913       3.8072     -0.55049
767       5.8257      0.70643      -3.7931
768       7.3333       5.8333            0
769       1.9053            5            0
770        5.272       2.7256      -1.3472
771      0.95263          5.5            0
772       2.5954       3.5253     -0.72314
773       6.3153       1.3315      -2.9503
774       2.9364        4.558            0
775       4.1022          2.9      -1.0302
776       2.8922       1.9532      -1.9278
777            3            0      -4.4444
778            0            6            0
779       6.8802       1.5333      -2.7798
780       6.1645       3.3938     -0.84047
781       3.9277      0.23192      -3.8993
782       1.4569       2.6841      -1.4734
783         5.06       4.3504            0
784       6.1177       4.6018            0
785       4.0826       4.1612            0
786            7            1      -3.3333
787       3.8434        1.965       -1.606
788       2.1191       2.9835     -0.88035
789      0.72395       2.2761      -1.8923
790       6.9508        4.731            0
791      0.50027       3.6852      -0.7762
792         4.96       1.2874       -2.229
793        7.625          3.5     -0.95263
794       3.0237       2.4367      -1.0576
795       3.5134        1.202      -2.1694
796       1.2506       3.2862     -0.69667
797      0.95263          4.5            0
798        3.296       2.8938     -0.56097
799       2.1326      0.86738      -2.7045
800       1.9053            4            0
801       3.4299      0.46687      -2.9502
802            8            5            0
803            0            5            0
804       7.2475       1.9898      -1.8075
805       5.8896      0.72241      -2.6637
806       5.9554       2.3256       -1.007
807       5.9385       1.4771       -1.779
808            0            3      -1.1111
809          1.5          1.5      -1.9053
810       2.1473       1.9883      -1.2554
811       4.4492      0.36229      -2.8462
812       5.8387       3.5917            0
813       2.8243       3.4065            0
814       4.7786       3.3416            0
815            3            0      -3.3333
816       6.7008        3.731            0
817       5.0624       1.6611      -1.2804
818       3.8056       3.1223            0
